date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,JPM,V,WMT
2022-03-01,-0.03671735571645039,-0.07495692647220148,-0.07495692647220148,-0.024178802480428134,-0.02894292542184234,-0.07495692647220148,0.5,-0.035376284020271646,-0.07495692647220148,-0.07495692647220148
2022-03-02,0.0702597870962088,-0.1,0.12038765067257448,-0.1,-0.1,0.0019269257216587652,-0.1,-0.1,0.047531320626274076,0.25989431588328377
2022-03-03,-0.09884237321040297,0.12003059736617404,-0.09884237321040297,-0.09884237321040297,0.08819841029668601,-0.00578813394798516,-0.09884237321040297,0.06204766475479418,-0.09884237321040297,0.22972332758234573
2022-03-04,0.07812522871717771,-0.1,-0.1,-0.1,-0.1,0.006635614118029911,-0.1,0.08437212683572015,0.05434678192480544,0.27652024840426676
2022-03-07,-0.0742236688301794,-0.0742236688301794,-0.024788734978496575,-0.0742236688301794,-0.028268350641712556,-0.0742236688301794,0.5000000000000001,-0.0346935046092574,-0.0411310656196364,-0.0742236688301794
2022-03-08,-0.07551087961034138,-0.07551087961034138,-0.02596512974179163,-0.024683832473478388,-0.029452545499353482,-0.07551087961034138,0.5,-0.07551087961034138,-0.04234409423366961,-0.07551087961034138
2022-03-09,-0.09906971368969522,0.12301162351882089,0.1050826556047141,-0.09906971368969522,-0.09906971368969522,-0.004651431551523775,-0.09906971368969522,-0.09906971368969522,0.03759342763909914,0.23431229323736585
2022-03-10,-0.09906971368969522,0.12301162351882089,0.1050826556047141,-0.09906971368969522,-0.09906971368969522,-0.004651431551523775,-0.09906971368969522,-0.09906971368969522,0.03759342763909914,0.23431229323736585
2022-03-11,-0.09959703304463385,-0.09959703304463385,-0.09959703304463385,0.11685287273186863,0.09654503382974917,-0.0020148347768307586,-0.09959703304463385,-0.09959703304463385,0.041645631522504785,0.24495646191587733
2022-03-14,-0.04180568567864275,-0.026084288527798913,-0.03046357100285485,-0.0803292909581407,-0.0803292909581407,-0.0803292909581407,0.498898280125335,-0.0803292909581407,-0.0803292909581407,0.0011017198746650016
2022-03-15,-0.07790689856909971,-0.023785577895857318,-0.02815487535243999,-0.026868243671424135,-0.0316568102347799,-0.07790689856909971,0.4999999999999999,-0.07790689856909971,-0.07790689856909971,-0.07790689856909971
2022-03-16,-0.07675704094598201,-0.02274340511488878,-0.07675704094598201,-0.025819937330274302,-0.030598976113670497,-0.07675704094598201,0.5,-0.03705247671125635,-0.07675704094598201,-0.07675704094598201
2022-03-17,-0.037046772694714784,-0.021431711337510928,-0.07530981346445802,-0.07530981346445802,-0.02926757074644564,-0.07530981346445802,0.5,-0.03570487789903854,-0.07530981346445802,-0.07530981346445802
2022-03-18,-0.037421484166540495,-0.02179552777575428,-0.02614822469712716,-0.07571122205290806,-0.07571122205290806,-0.07571122205290806,0.5000000000000002,-0.036078653096037756,-0.07571122205290806,-0.07571122205290806
2022-03-21,0.06486734279331965,0.1321493366371697,0.11340756364459705,0.11892647352204704,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,0.07064928340286657,-0.09999999999999999,-0.09999999999999999
2022-03-22,0.09065297670587101,0.16845803007606377,-0.1,-0.1,0.12941435003107776,0.014135416980943486,-0.1,0.09733922620604397,-0.1,-0.1
2022-03-23,-0.04088773471931639,-0.07929015394193274,-0.029581299626067172,-0.07929015394193274,-0.03308019594495278,-0.07929015394193274,0.49811530561102985,-0.07929015394193274,-0.07929015394193274,0.0018846943889702125
2022-03-24,-0.09999999999999999,0.10349400128621032,-0.09999999999999999,0.09190330125349125,0.07389848248186828,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,0.02522497300719961,0.20547924197123058
2022-03-25,-0.07700012541284634,-0.023301821679951845,-0.07700012541284634,-0.07700012541284634,-0.07700012541284634,-0.05417019446987273,0.49638980267220695,-0.03752735678594375,-0.07700012541284634,0.003610197327793102
2022-03-28,-0.038988171083395286,-0.0771398136991634,-0.0771398136991634,-0.0771398136991634,-0.031231617328238963,-0.0771398136991634,0.49649505574896907,-0.0771398136991634,-0.04408114309254874,0.0035049442510310517
2022-03-29,-0.09858938543993326,-0.09858938543993326,0.10140972648118698,0.10208824230291291,-0.09858938543993326,-0.007053072800333746,-0.09858938543993326,0.06154616612115268,-0.09858938543993326,0.23495586509474747
2022-03-30,0.11635314472817412,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.15558232681362344,0.027620321735027917,-0.09999999999999998,0.11078093235183113,0.0896632743713434,-0.09999999999999998
2022-03-31,-0.1,0.10917767411461851,0.09752496505408494,-0.1,0.07891053305676456,-0.1,-0.1,-0.1,0.02568272616700757,0.18870410160752432
2022-04-01,-0.07569094925595443,-0.026607849018684578,-0.02661018724337564,-0.07569094925595443,-0.032246651413395146,-0.07569094925595443,0.5,-0.036080566044772604,-0.07569094925595443,-0.07569094925595443
